Reference, Value, Footprint, Datasheet, V, prec
P1,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,
P2,CONN_02X03,Pin_Headers:Pin_Header_Straight_2x03,
P4,CONN_01X02,footprints:Thermocouple,
U6,ASSR_45_1228_45_002,footprints:SMD-8,
R9,470R,Resistors_SMD:R_0805,
P5,CONN_01X02,footprints:Thermocouple,
U7,ASSR_45_1228_45_002,footprints:SMD-8,
R12,470R,Resistors_SMD:R_0805,
P6,CONN_01X02,footprints:Thermocouple,
R15,470R,Resistors_SMD:R_0805,
P7,CONN_01X02,footprints:Thermocouple,
U9,ASSR_45_1228_45_002,footprints:SMD-8,
R18,470R,Resistors_SMD:R_0805,
U1,7805,Converters_DCDC_ACDC:DCDC-Conv_Recom_R-78HBxx-0.5,
C1,1000u,footprints:c_elec_16x16.5,,36V,
C2,10u,Capacitors_SMD:C_0805,
C4,1u,Capacitors_SMD:C_0805,
U8,ASSR_45_1228_45_002,footprints:SMD-8,
R5,681R,Resistors_SMD:R_0805,
D5,BAV199LT1G,TO_SOT_Packages_SMD:SOT-23,
R6,301R,Resistors_SMD:R_0805,
C19,1n,Capacitors_SMD:C_0805,,,5%
C20,10n,Capacitors_SMD:C_0805,
R7,681R,Resistors_SMD:R_0805,
D6,BAV199LT1G,TO_SOT_Packages_SMD:SOT-23,
R8,301R,Resistors_SMD:R_0805,
U4,AD7792BRUZ,footprints:AD7792BRUZ,
C17,10u,Capacitors_SMD:C_0805,
C18,0.1u,Capacitors_SMD:C_0805,
C14,0.1u,Capacitors_SMD:C_0805,
C13,10u,Capacitors_SMD:C_0805,
C11,10u,Capacitors_SMD:C_0805,
C12,0.1u,Capacitors_SMD:C_0805,
D3,MM3Z3V6S,Diodes_SMD:SOD-323,
C9,1u,Capacitors_SMD:C_0805,
C10,1u,Capacitors_SMD:C_0805,
C5,10u,Capacitors_SMD:C_0805,
D2,1SMA30CA,Diodes_SMD:SMA_Standard,
C8,0.01u,Capacitors_SMD:C_0805,,100V,
D4,MM3Z5V6S,Diodes_SMD:SOD-323,
C6,10u,Capacitors_SMD:C_0805,
C7,0.1u,Capacitors_SMD:C_0805,
C22,0.1u,Capacitors_SMD:C_0805,
